UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.LinearLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='android:id/content')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/launcher')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/drag_layer')
UIElement(text='', content_description='', class_name='android.view.View', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/scrim_view')
UIElement(text='', content_description='Apps list', class_name='android.view.View', bbox=BoundingBox(x_min=517, x_max=564, y_min=1779, y_max=1795), bbox_pixels=BoundingBox(x_min=517, x_max=564, y_min=1779, y_max=1795), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.ScrollView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=True, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/workspace')
UIElement(text='', content_description='', class_name='android.view.ViewGroup', bbox=BoundingBox(x_min=21, x_max=1059, y_min=84, y_max=1764), bbox_pixels=BoundingBox(x_min=21, x_max=1059, y_min=84, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.view.ViewGroup', bbox=BoundingBox(x_min=35, x_max=1045, y_min=84, y_max=1764), bbox_pixels=BoundingBox(x_min=35, x_max=1045, y_min=84, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=35, x_max=1045, y_min=84, y_max=420), bbox_pixels=BoundingBox(x_min=35, x_max=1045, y_min=84, y_max=420), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/search_container_workspace')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=35, x_max=1045, y_min=84, y_max=420), bbox_pixels=BoundingBox(x_min=35, x_max=1045, y_min=84, y_max=420), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/universal_smartspace_container')
UIElement(text='', content_description='', class_name='android.widget.LinearLayout', bbox=BoundingBox(x_min=276, x_max=804, y_min=84, y_max=420), bbox_pixels=BoundingBox(x_min=276, x_max=804, y_min=84, y_max=420), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/smartspace_content')
UIElement(text='Saturday, Feb 22', content_description='Saturday, Feb 22', class_name='android.widget.TextView', bbox=BoundingBox(x_min=276, x_max=804, y_min=84, y_max=420), bbox_pixels=BoundingBox(x_min=276, x_max=804, y_min=84, y_max=420), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/clock')
UIElement(text='QQBrowser', content_description='QQBrowser', class_name='android.widget.TextView', bbox=BoundingBox(x_min=35, x_max=237, y_min=1092, y_max=1428), bbox_pixels=BoundingBox(x_min=35, x_max=237, y_min=1092, y_max=1428), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='哔哩哔哩', content_description='哔哩哔哩', class_name='android.widget.TextView', bbox=BoundingBox(x_min=35, x_max=237, y_min=1428, y_max=1764), bbox_pixels=BoundingBox(x_min=35, x_max=237, y_min=1428, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='Weibo', content_description='Weibo', class_name='android.widget.TextView', bbox=BoundingBox(x_min=237, x_max=439, y_min=1428, y_max=1764), bbox_pixels=BoundingBox(x_min=237, x_max=439, y_min=1428, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='Kuaishou', content_description='Kuaishou', class_name='android.widget.TextView', bbox=BoundingBox(x_min=439, x_max=641, y_min=1428, y_max=1764), bbox_pixels=BoundingBox(x_min=439, x_max=641, y_min=1428, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='腾讯视频', content_description='腾讯视频', class_name='android.widget.TextView', bbox=BoundingBox(x_min=641, x_max=843, y_min=1428, y_max=1764), bbox_pixels=BoundingBox(x_min=641, x_max=843, y_min=1428, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='酷狗音乐', content_description='酷狗音乐', class_name='android.widget.TextView', bbox=BoundingBox(x_min=843, x_max=1045, y_min=1428, y_max=1764), bbox_pixels=BoundingBox(x_min=843, x_max=1045, y_min=1428, y_max=1764), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.view.View', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1732, y_max=1795), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1732, y_max=1795), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/page_indicator')
UIElement(text='', content_description='', class_name='android.view.ViewGroup', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1795, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1795, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/hotseat')
UIElement(text='', content_description='', class_name='android.view.ViewGroup', bbox=BoundingBox(x_min=35, x_max=1045, y_min=1795, y_max=2000), bbox_pixels=BoundingBox(x_min=35, x_max=1045, y_min=1795, y_max=2000), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='Messages', content_description='Messages', class_name='android.widget.TextView', bbox=BoundingBox(x_min=237, x_max=439, y_min=1795, y_max=2000), bbox_pixels=BoundingBox(x_min=237, x_max=439, y_min=1795, y_max=2000), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='Chrome', content_description='Chrome', class_name='android.widget.TextView', bbox=BoundingBox(x_min=641, x_max=843, y_min=1795, y_max=2000), bbox_pixels=BoundingBox(x_min=641, x_max=843, y_min=1795, y_max=2000), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.RelativeLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=1977, y_max=2274), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=1977, y_max=2274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.google.android.apps.nexuslauncher', resource_name=None, tooltip=None, resource_id='com.google.android.apps.nexuslauncher:id/apps_view')
